tab_name,manager,time_range,review_type,display_name,capture_folder_url,folder_url,is_closed
10/23(쿠팡)노티드_크런치 피넛버터 100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
10/23(쿠팡)노티드_말차 스프레드 100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
10/23(쿠팡)노티드_도우빕(턱받이)3종 90건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
10/23(쿠팡)노티드_보냉팩 30건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
체험단_관리시트_서식,,,,,,,TRUE
네이버)0126_논알콜맥주5종_150건,,,,,,,TRUE
쿠팡)0126_논알콜맥주5종_150건,,,,,,,TRUE
쿠팡)1110_에피루스_올리브오일2종_100건,,,,,,,TRUE
네이버)0904_에피루스_올리브오일2종_140건,,,,,,,TRUE
쿠팡)0904_에피루스_올리브오일2종_60건,,,,,,,TRUE
올리브오일 구매평+포스팅 15건,,,,,,,TRUE
0204)메이드유 카카오리뷰,,,,,,,TRUE
0129)아인상회_쿠팡&네이버_통증공감패치_100건,,,,,,,TRUE
체험단_관리시트_서식,,,,,,,TRUE
구매평 체험단,,,,,,,TRUE
0223) 회수형 구매평 체험단,,,,,,,TRUE
디자인토큰_업무시트,,,,,,,TRUE
6/19카카오쇼핑_토큰냉풍기,,,,,,,TRUE
퓨리즈,,,,,,,TRUE
오로라박스,,,,,,,TRUE
2/24지마켓,,,,,,,TRUE
2/2퓨비아섬유유연제_네이버15건,,,,,,,TRUE
12/9퓨비아리무버_네이버20건,,,,,,,TRUE
11/24퓨비아세탁세제_네이버15건,,,,,,,TRUE
11/24퓨비아세탁세제_쿠팡3종 40건,,,,,,,TRUE
11/14퓨비아리무버_쿠팡20건,,,,,,,TRUE
0106올영_팩투폼마스크,,,,,,,TRUE
1217올영_팩투폼마스크 구매양식폼,,,,,,,TRUE
체험단_관리시트_서식,,,,,,,TRUE
1/12 1팩+3팩 구매폼,,,,,,,TRUE
1/12 카사바 모래 3팩 100건,,,,,,,TRUE
1/12 카사바 모래 1팩 100건,,,,,,,TRUE
1229싸가지모래_고양이모래120건,,,,,,,TRUE
엘프슈타펠,,,,,,,TRUE
아이원,,,,,,,TRUE
참진/얼핏한의원 리뷰_2차.,,,,,,,TRUE
0106)네이버&쿠팡_상품2종,,,,,,,TRUE
체험단_네이버,,,,,,,TRUE
체험단_쿠팡,,,,,,,TRUE
체험단_SSG,,,,,,,TRUE
2/11_네이버_명태액막이 50건,,,,,,,TRUE
11/24 석고마스크팩50건,,,,,,,TRUE
9.20리프팅밴드,,,,,,,TRUE
7/1선물하기_마사지기,,,,,,,TRUE
6/30선물하기_올리밴드,,,,,,,TRUE
0210메이커스_마사지기,,,,,,,TRUE
6/26리프팅패치+밴드_50건,,,,,,,TRUE
0126)쿠팡_작심홈_커브형베개_60건,,,,,,,TRUE
NMN 구매평,,,,,,https://drive.google.com/drive/folders/1GIpes7Iv7PhRAKGME4ddloI42CXycbtB,TRUE
0202)비타민3종_블로그,,,,,,,TRUE
1203)압타민c 구매평,,,,,,,TRUE
1119)비타민_구매평+블로그,,,,,,,TRUE
체험단 시트,망고,자유,믹스,자사몰 젤리/유기농,https://drive.google.com/drive/folders/1pe_7zPLGcEQnaYB9mE4PNir7YEYdI5Tg,https://drive.google.com/drive/folders/1yjjL3C8nNFbuK_2tW4s6TNtDOhvxmhgc,
블로그 포스팅,,,,,,,TRUE
무작 아오테 36,,,,,,,TRUE
무작 사다리,,,,,,,TRUE
디와이임팩트 리뷰,,,,,,,TRUE
25년_구매평+체험단 작업 시트,,,,,,,TRUE
1202)아이스마트_이마트몰_구매평_50건,,,,,,,TRUE
식빵패드,,,,,,,TRUE
리얼초이스,,,,,,,TRUE
리뷰폼:치카왕,,,,,,,TRUE
치카왕,,,,,,,TRUE
0702영양파티(은비),,,,,,,TRUE
리뷰폼:영양파티,,,,,,,TRUE
0627진짜수제(세희),,,,,,,TRUE
0620고기파티,,,,,,,TRUE
큇즈펫수제간식,,,,,,,TRUE
바른간식고구마,,,,,,,TRUE
웰빙죽,,,,,,,TRUE
워너밀 강아지습식캔,,,,,,,TRUE
이앤 소프트덴탈스틱,,,,,,,TRUE
펫아이하이츄,,,,,,,TRUE
불리스틱,,,,,,,TRUE
덴탈껌간식,,,,,,,TRUE
배변패드,,,,,,,TRUE
펫영양제(필름형),,,,,,,TRUE
고양이츄르,,,,,,,TRUE
클라랩_페이리뷰+블로그+인스타_20건,,,,,,,TRUE
클라랩_최적블 체험단_2건,,,,,,,TRUE
클라랩_쿠팡,,,,,,,TRUE
클라랩_네이버,,,,,,,TRUE
0825디아쉬끄_새치틴트100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
0426약콩콩물100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
0426약콩콩물리뷰제출폼,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
아라새우_네이버x쿠팡,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
10/21(쿠팡)블랑루스_젤리미스트 100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
10/20(쿠팡)넛세린_클렌징팩폼 100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
9/24밥스누_콩물 블로그 체험단,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
9/24밥스누_콩물 블로그 체험단의 사본,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
9/17(쿠팡)넛세린_밀크 바디워시 100건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
8/20그린 미스트,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
7/31엘라비에_선세럼 블로그 체험단,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
페이스타올+샴푸동시구매,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
7/18(쿠팡)블랑루스_페이스타올720건,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
7/16 넛세린선세럼 100,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
6/27굿데이허니_스프레이 블로그,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
6/10(쿠팡)밤보늬 클렌저,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
1/16밥스누)아토크림,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
11월블랑루스(네이버),,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
10/25엘라비에쿠션/선크림,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
7월블랑루스(네이버)세희,,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
(완)3/22어니스트캄(쿠팡3종 동시구매),,,,,,https://drive.google.com/drive/folders/1glB_nLtQ8LHoktmU2sfMWFzdMQgR2LhM,TRUE
2/27(쿠팡)오클리앙_밸런스크림 100건 구글폼,만두,자유,실배송,오클리앙_밸런스크림(쿠팡실배/포토리뷰),https://drive.google.com/drive/folders/1HYGIFS_YHpLRpYXKOQbboShfuGTNfnCU,https://drive.google.com/drive/folders/1xkQd8iO0Pc8Zz_kFCVUsIlZLBZeZ9R6y,TRUE
3/3_쿠팡&오늘의집_명태액막이 80건,망고,자유,빈박스,쿠/오늘의집 액막이/3월,https://drive.google.com/drive/folders/1MYxe5e9TWuLZOfgDv9QBkZCc3mt75Md6,https://drive.google.com/drive/folders/1uOFcWEcp7_w6vNkyulppHbiu5Xfb9OWY,
오리 콘드로이친,만두,,빈박스,콘드로이친 쿠팡빈 리뷰비1천원,https://drive.google.com/drive/folders/1r9-3z1_T2Y_k-S26lTkYGCJSshj2_mda,https://drive.google.com/drive/folders/1zS1hKLbgHv2iT1LhxZKE08ItODICUFKd,
모모밸런스,만두,,믹스,0305 모모밸런스 엠엔엠 네이버빈1천,https://drive.google.com/drive/folders/14DBT9X6OPtb_z4gsB_ab2PZTVPpU2yrk,https://drive.google.com/drive/folders/1aEwZQcO42BRHDP6oKBW4EkHyvKffF-vo,
뉴센트리,만두,,빈박스,0305콘드로이친 쿠팡빈1천,https://drive.google.com/drive/folders/16sLXwMQnoGvCHgVHP0jky4lRc9DVng1r,https://drive.google.com/drive/folders/1pNyxVO3RE2roOuIhL2Ea-yK6yxaM_uNk,
유일기획_2026(로켓),망고,자유,실배송,3.6 쿠팡 쪽집게 실배,https://drive.google.com/drive/folders/1YECQmxCrcrFG5PcqvpFh9qdqWH47vu9r,https://drive.google.com/drive/folders/1veb9chaDqGP8RsWmIJf64f9Yn_EN21sO,
3/6퓨비아리무버_쿠팡20건,만두,자유,실배송,0306퓨비아스팟리무버,https://drive.google.com/drive/folders/1RfXE6FwD6IoKxeEPt6GI3d339k_xQ2lV,https://drive.google.com/drive/folders/1grirzsYdViE85D89ZttedxPjtzbmMTzw,
캐비어글로우_미스트,만두,자유,실배송,0317 쿠팡 수분미스트 현영,https://drive.google.com/drive/folders/1EcAh4zBu0A6zQM04czliH1TCEgu1vowH,https://drive.google.com/drive/folders/1sezeAVyM_AkDca7Nt9AHsJxe03t7ivUd,
캐비어글로우_크림,만두,자유,실배송,0317캐비어글로우_크림실배송2차,https://drive.google.com/drive/folders/1prz6r9vKKSWUMCE1q6-hQGLOja4gu7ET,https://drive.google.com/drive/folders/17NRGDXU78Pndo3fAoDiYTzj5EC0ze24m,
3/9(네이버)아라새우_블랙타이거새우 100건,망고,자유,실배송,3.9네이버 새우/실배현영,https://drive.google.com/drive/folders/1xb0Z8BpCRAmshtUTYz-ReIrba0wkARrz,https://drive.google.com/drive/folders/1VW8FPkIxQ_uHrgqhOfUsf0O3W0A3_YLl,
3/9~11퀵리터닝마스크,망고,자유,실배송,3.9쿠팡마스크팩/13일리뷰마감,https://drive.google.com/drive/folders/1mmn6u2TKbjskkOnuFdMkCw0XgEZoG13v,https://drive.google.com/drive/folders/1bI4IdMrcWBmRo8vEFMDNeppDPWUOf2C4,
3/9_디알크림_네이버/쿠팡 17건씩,망고,자유,실배송,3.6 쿠&네 보습크림 소득실배,https://drive.google.com/drive/folders/1ZzlQV1i0sbQ1ngfJVyjSUkw1oqX2ijWG,https://drive.google.com/drive/folders/19RO4nFs4NGszO1hyQBulcw9MRUZIi5LS,
3/14퀵리터닝마스크_타임세일07~09시,망고,07:00 ~ 09:00,실배송,3.14 쿠팡 마스크팩 타임세일,https://drive.google.com/drive/folders/1ljiUg5aI0tYJ_pi23s8SnsLCAK8rcFRP,https://drive.google.com/drive/folders/1HnjEwUkVh3YS5PoJzCGM4bdNzfGWOdV5,
3/12 티암 쿠팡3종,만두,자유,실배송,3월티암 화장품실배송,https://drive.google.com/drive/folders/1HapO1TccC0C0gb46QJ6XOj7WH9KiDGME,https://drive.google.com/drive/folders/1YQ9EffUU73Dx0nCocwr4yd1YC_wjzVVe,
3/16퓨비아리무버_네이버20건,만두,자유,실배송,3/16퓨비아리무버실배송,https://drive.google.com/drive/folders/1CywHYle3LzpMO-j_vVB7tyLAFWeYA3HU,https://drive.google.com/drive/folders/1M7HxtH5dJ9NJGyEC057ja6S43DW6Pv4t,
3/16퓨비아섬유유연제_쿠팡15건,만두,,실배송,0316퓨비아_섬유유연제실배송+빈,https://drive.google.com/drive/folders/1MD2kLbXvg250cYFaFX4pDu6CIFhblWg6,https://drive.google.com/drive/folders/1L8uUpCe3yF1w2-8y6nDY-ukNPOoWp37J,
